measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Ovarian cancer,Number,2003,805388.302893251,871661.6608145796,757244.298572595
Prevalence,Global,Both,All ages,Testicular cancer,Number,2003,527708.1275628326,615687.9736570219,431250.2014080816
Prevalence,Global,Both,All ages,Kidney cancer,Number,2003,1128636.1017514875,1156548.0249144896,1100624.0651656326
Prevalence,Global,Both,All ages,Bladder cancer,Number,2003,1699210.685989246,1738546.2300954352,1647661.8567707934
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,2003,629217.6906469143,687837.8297511851,523258.12445846305
Prevalence,Global,Both,All ages,Thyroid cancer,Number,2003,1102632.0685957216,1143958.904577324,1018009.54499886
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2005,2145537.1380437776,2219797.3752713096,2063661.5540483515
Prevalence,Global,Both,All ages,Breast cancer,Number,2005,13012730.307787728,13558075.639119864,12532509.03547835
Prevalence,Global,Both,All ages,Cervical cancer,Number,2005,2160238.930455626,2388771.0207164646,1935686.5442024933
Prevalence,Global,Both,All ages,Uterine cancer,Number,2005,2117303.4025727184,2205354.4261251325,1913647.3555654646
Prevalence,Global,Both,All ages,Prostate cancer,Number,2005,6836830.346725231,8374662.485424056,5728471.880839184
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,2005,6918407.587060642,7116314.266083513,6654222.664409285
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,2005,915745.3376101353,944360.9589570848,887224.865376218
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,2005,449538.9735593457,481172.8804030965,422470.37436424627
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,2005,151942.7940992752,155338.9956179609,148585.3544631017
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2005,189586.70056661183,199822.51187753453,165780.54900079238
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,2005,272271.8269972819,280390.37203134835,259750.41514526293
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,2004,1704503.853432113,1915710.3718748505,1527315.7853999292
Prevalence,Global,Both,All ages,Ovarian cancer,Number,2004,824347.7436507785,894453.4885177368,776459.3355402532
Prevalence,Global,Both,All ages,Testicular cancer,Number,2004,543562.4223139539,636924.2159825852,441733.1981392738
Prevalence,Global,Both,All ages,Kidney cancer,Number,2004,1174290.207458284,1202667.3104819003,1144683.726782033
Prevalence,Global,Both,All ages,Bladder cancer,Number,2004,1757497.8931116462,1798942.3188303667,1702704.062074967
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,2004,649224.2037403471,706735.1179268092,541435.1883222354
Prevalence,Global,Both,All ages,Thyroid cancer,Number,2004,1148942.9450511641,1193192.7157520456,1056910.2094037419
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2004,2075741.3195228213,2146269.9253317984,2000854.476393441
Prevalence,Global,Both,All ages,Breast cancer,Number,2004,12647610.48981643,13169941.767670412,12179226.753172563
Prevalence,Global,Both,All ages,Cervical cancer,Number,2004,2105348.990167774,2322491.130907515,1866090.8545433017
Prevalence,Global,Both,All ages,Uterine cancer,Number,2004,2014691.8565652356,2096383.762111444,1837052.787335797
Prevalence,Global,Both,All ages,Prostate cancer,Number,2004,6601379.04992716,7991336.398955219,5490467.098917708
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,2004,6645308.846716741,6814335.3191451365,6429228.9099374525
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,2004,884551.5330830247,911785.9289757351,857733.6935243758
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,2004,426512.5798376338,454017.49181654584,401115.2044240615
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,2004,144799.7322032825,147964.58647255535,141596.5674071797
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2004,183488.79560289986,193430.39561371208,162332.4874285235
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,2004,260267.5655359513,267944.9540101882,248741.60936167638
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2002,733481.3090865022,789568.4811777872,531331.64547977
Prevalence,Global,Both,All ages,Stomach cancer,Number,2002,1829990.611561809,1907054.9053582335,1745975.999452676
Prevalence,Global,Both,All ages,Liver cancer,Number,2002,564536.1743810795,587689.5036481948,542334.5455824306
Prevalence,Global,Both,All ages,Larynx cancer,Number,2002,813978.5559596026,845287.3925702571,784363.0438568229
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2002,1942522.2774667072,1999258.95368853,1881332.4185831696
Prevalence,Global,Both,All ages,Breast cancer,Number,2002,11945274.050126627,12457763.359844068,11514109.617603075
Prevalence,Global,Both,All ages,Cervical cancer,Number,2002,2016009.3076410303,2229047.974321949,1815599.7875008197
Prevalence,Global,Both,All ages,Uterine cancer,Number,2002,1834539.9756489564,1905399.1075598728,1683982.1027079138
